A. David Edwards	Daniel Rueckert
Marc Toussaint	Sethu Vijayakumar
Marc Vuffray	Andrey Y. Lokhov
Marc Vuffray	Michael Chertkov
Marc Vuffray	Sidhant Misra
Marc W. Howard	Karthik H. Shankar
Marc W. Howard	Zoran Tiganj
Marc'Aurelio Ranzato	Abdel-rahman Mohamed
Marc'Aurelio Ranzato	Andrew W. Senior
Marc'Aurelio Ranzato	Andrew Y. Ng
Marc'Aurelio Ranzato	Benjamin M. Marlin
Marc'Aurelio Ranzato	David Buchman
Marc'Aurelio Ranzato	Geoffrey E. Hinton
Marc'Aurelio Ranzato	Ke Yang
Marc'Aurelio Ranzato	Nando de Freitas
Marc'Aurelio Ranzato	Paul A. Tucker
Marc'Aurelio Ranzato	Tomas Mikolov
Marc'Aurelio Ranzato	Volodymyr Mnih
Marcel A. J. van Gerven	Jan-Mathijs Schoffelen
Marcel A. J. van Gerven	Matthias Sebastian Treder
Marcel A. J. van Gerven	Tom Heskes
Marcel A. J. van Gerven	Zoubin Ghahramani
Marcel van Gerven	Marcel A. J. van Gerven
Marcela Zuluaga	Andreas Krause 0001
Marcela Zuluaga	Guillaume Sergent
Marcela Zuluaga	Markus Püschel
Marcello D'Agostino	Hykel Hosni
Marcello D'Agostino	Tommaso Flaminio
Marcello Pelillo	Horst Bischof
Marcello Restelli	Alessandro Nuara
Marcello Restelli	Alessio Pecorino
Marcello Restelli	Daniele Calandriello
Marcello Restelli	Luca Bascetta
Marcelo Fiori	Guillermo Sapiro
Marcelo Fiori	Joshua T. Vogelstein
Marcelo Fiori	Pablo Musé
Marcelo Fiori	Pablo Sprechmann
Marcin Andrychowicz	David Pfau
Marcin Andrychowicz	Matthew W. Hoffman
Marcin Andrychowicz	Misha Denil
Marcin Andrychowicz	Nando de Freitas
Marcin Andrychowicz	Sergio Gomez Colmenarejo
Marcin Andrychowicz	Tom Schaul
Marcin Budka	Bogdan Gabrys
Marcin J. Skwark	Alexey Dosovitskiy
Marcin J. Skwark	Antonij Golkov
Marcin J. Skwark	Daniel Cremers
Marcin J. Skwark	Jens Meiler
Marcin J. Skwark	Thomas Brox
Marcin Moczulski	Misha Denil
Marcin Moczulski	Yoshua Bengio
Marco Cuturi	Alexandre d'Aspremont
Marco Cuturi	Arnaud Doucet
Marco Cuturi	Francis R. Bach
Marco Cuturi	Gabriel Peyré
Marco Cuturi	Justin Solomon
Marco Cuturi	Tetsuji Kuboyama
Marco Fraccaro	Ole Winther
Marco Fraccaro	Søren Kaae Sønderby
Marco Fraccaro	Ulrich Paquet
Marco Gaboardi	Aaron Roth
Marco Gaboardi	Emilio Jesús Gallego Arias
Marco Gaboardi	Hyun-Woo Lim
Marco Gaboardi	Justin Hsu
Marco Gaboardi	Ryan M. Rogers
Marco Gaboardi	Salil P. Vadhan
Marco Gaboardi	Zhiwei Steven Wu
Marco Lorenzi	Daniel C. Alexander
Marco Lorenzi	Gabriel Ziegler
Marco Lorenzi	Sébastien Ourselin
Marco San-Biagio	Vittorio Murino
Marco Stolpe	Katharina Morik
Marco Zaffalon	Fabrizio Ruggeri
Marcus A. Brubaker	Aaron Hertzmann
Marcus A. Brubaker	David J. Fleet
Marcus Hutter	Peter Sunehag
Marcus Lim	Ashutosh Saxena
Marcus Liwicki	Jürgen Schmidhuber
Marcus Rohrbach	Bernt Schiele
Marcus Rohrbach	Sandra Ebert
Marek Doniec	Nicholas Roy
Marek Petrik	Dharmashankar Subramanian
Marek Petrik	Gavin Taylor
Marek Petrik	Ronald Parr
Marek Petrik	Shlomo Zilberstein
Marek Petrik	Yinlam Chow
Maren Mahsereci	Philipp Hennig
Maren Westkott	Klaus Pawelzik
Margareta Ackerman	David Loker
Margareta Ackerman	Sanjoy Dasgupta
Margareta Ackerman	Shai Ben-David
Margarita Osadchy	Daniel Keren
Margarita Osadchy	Tamir Hazan
Mari Seppänen	Simo Särkkä
Maria Lomeli	Stefano Favaro
Maria Lomeli	Yee Whye Teh
Maria Lomeli Garcia	Arthur Gretton
Maria Lomeli Garcia	Christophe Andrieu
Maria Pavlovskaia	Song Chun Zhu
Maria-Florina Balcan	Avrim Blum
Maria-Florina Balcan	Christopher Berlind
Maria-Florina Balcan	David P. Woodruff
Maria-Florina Balcan	Ellen Vitercik
Maria-Florina Balcan	Emma Cohen
Maria-Florina Balcan	Hongyang Zhang 0001
Maria-Florina Balcan	Kaushik Patnaik
Maria-Florina Balcan	Konstantin Voevodski
Maria-Florina Balcan	Le Song
Maria-Florina Balcan	Steven Ehrlich
Maria-Florina Balcan	Tuomas Sandholm
Maria-Florina Balcan	Vandana Kanchanapally
Maria-Florina Balcan	Vitaly Feldman
Maria-Florina Balcan	Yingyu Liang
Mariano Sigman	Diego Fernández Slezak
Mariano Sigman	Guillermo A. Cecchi
Marie Chupin	Habib Benali
Marie Chupin	Olivier Colliot
Marijn F. Stollenga	Faustino J. Gomez
Marijn F. Stollenga	Jonathan Masci
Marijn F. Stollenga	Jürgen Schmidhuber
Marijn F. Stollenga	Marcus Liwicki
Marijn F. Stollenga	Wonmin Byeon
Marina Meila	Dominique Joncas
Marina Riabiz	Simon J. Godsill
Marina Riabiz	Tohid Ardeshiri
Mario Fritz	Kate Saenko
Mario Fritz	Trevor Darrell
Mario Lucic	Andreas Krause 0001
Mario Lucic	Joachim M. Buhmann
Mario Lucic	Morteza Zadimoghaddam
Mario Lucic	Seyed Hamed Hassani
Mario Marchand	Emilie Morvant
Mario Marchand	Hongyu Su
Mario Marchand	Hugo Larochelle
Mario Marchand	John Shawe-Taylor
Mario Marchand	Juho Rousu
Mario Marchand	Khadidja Sylla
Mario Marchand	Sara Shanian
Marius Kloft	Gilles Blanchard
Marius Kloft	Mehryar Mohri
Marius Pachitariu	Adam M. Packer
Marius Pachitariu	Biljana Petreska
Marius Pachitariu	Henry Dalgleish
Marius Pachitariu	Kenneth D. Harris
Marius Pachitariu	Maneesh Sahani
Marius Pachitariu	Matteo Carandini
Marius Pachitariu	Michael Häusser
Marius Pachitariu	Nicholas A. Steinmetz
Marius Pachitariu	Noah Pettit
Marius Pachitariu	Shabnam N. Kadir
Mariusz Bojarski	Sanjiv Kumar
Mariusz Bojarski	Tony Jebara
Mariusz Bojarski	Yann LeCun
Mariya Ishteva	Ankur P. Parikh
Mariya Ishteva	Eric P. Xing
Mariya Ishteva	Haesun Park
Mariya Ishteva	Le Song
Mark A. Girolami	Michael A. Osborne
Mark B. Ring	Jürgen Schmidhuber
Mark D. Humphries	Boris S. Gutkin
Mark D. Reid	Dario García-García
Mark D. Reid	James Petterson
Mark D. Reid	Jie Zhou
Mark D. Reid	Peng Sun
Mark D. Reid	Rafael M. Frongillo
Mark Herbster	Fabio Vitale
Mark Herbster	Massimiliano Pontil
Mark Herbster	Shaona Ghosh
Mark Herbster	Stephen Pasteris
Mark Johnson	Bevan K. Jones
Mark Johnson	Katherine Demuth
Mark Johnson	Michael C. Frank
Mark Joseph Cummins	Paul M. Newman
Mark K. Ho	Fiery Cushman
Mark K. Ho	James MacGlashan
Mark K. Ho	Joseph L. Austerweil
Mark K. Ho	Michael L. Littman
Mark Kozdoba	Shie Mannor
Mark McCartin-Lim	Andrew McGregor 0001
Mark McCartin-Lim	Rui Wang 0003
Mark Rogers	Lei Li
Mark Rogers	Stuart J. Russell
Mark Rowland	Daniel Hernández-Lobato
Mark Rowland	Richard E. Turner
Mark Rowland	Thang D. Bui
Mark S. Alber	Danny Ziyi Chen
Mark W. Schmidt	Francis R. Bach
Mark W. Schmidt	Hoyt A. Koepke
Mark W. Schmidt	Issam H. Laradji
Mark W. Schmidt	Jakub Konecný
Mark W. Schmidt	Michael P. Friedlander
Mark W. Schmidt	Nicolas Le Roux
Mark W. Schmidt	Patrick Pletscher
Mark W. Schmidt	Scott Sallinen
Mark Z. Mao	Andrew W. Senior
Mark Z. Mao	Andrew Y. Ng
Mark Z. Mao	Ke Yang
Mark Z. Mao	Marc'Aurelio Ranzato
Mark Z. Mao	Paul A. Tucker
Mark van der Wilk	Carl E. Rasmussen
Mark van der Wilk	Carl Edward Rasmussen
Marko Ruman	Frantisek Hula
Marko Ruman	Miroslav Kárný
Markus Weimer	Alexander J. Smola
Markus Weimer	Lihong Li 0001
Marleen de Bruijne	Karsten M. Borgwardt
Marta Salas	Jitendra Malik
Marta Salas	Pablo Andrés Arbeláez
Marta Soare	Alessandro Lazaric
Marta Soare	Rémi Munos
Martha White	Adam M. White
Martha White	Dale Schuurmans
Martha White	Predrag Radivojac
Martha White	Richard S. Sutton
Martha White	Xinhua Zhang
Marthinus Christoffel du Plessis	Gang Niu
Marthinus Christoffel du Plessis	Ichiro Takeuchi
Marthinus Christoffel du Plessis	Song Liu 0002
Marthinus Christoffel du Plessis	Tomoya Sakai
Marthinus Christoffel du Plessis	Yao Ma
Martial Hebert	Takeo Kanade
Martial Hue	Jean-Philippe Vert
Martijn van Otterlo	Olivier Pietquin
Martin A. Riedmiller	Thomas Brox
Martin Azizyan	Aarti Singh
Martin Azizyan	Larry A. Wasserman
Martin B. Stemmler	Biswa Sengupta
Martin B. Stemmler	Jeremy E. Niven
Martin B. Stemmler	Simon B. Laughlin
Martin J. Wainwright	Andre Wibisono
Martin Jaggi	Jonathan Terhorst
Martin Jaggi	Marek Sulovský
Martin Jaggi	Mark W. Schmidt
Martin Jaggi	Martin Takác
Martin Jaggi	Michael I. Jordan
Martin Jaggi	Patrick Pletscher
Martin Jaggi	Peter Richtárik
Martin Jaggi	Sanjay Krishnan
Martin Jaggi	Thomas Hofmann
Martin Jaggi	Virginia Smith
Martin Kiefel	Bernhard Schölkopf
Martin Kiefel	Lumin Zhang
Martin Levihn	Charles Lee Isbell Jr.
Martin Levihn	David Wingate
Martin Mevissen	Emanuele Ragnoli
Martin Mevissen	Jia Yuan Yu
Martin O. Larsson	Johan Ugander
Martin Odersky	Kunle Olukotun
Martin Renqiang Min	Anthony J. Bonner
Martin Renqiang Min	Laurens van der Maaten
Martin Renqiang Min	Zhaolei Zhang
Martin Renqiang Min	Zineng Yuan
Martin Slawski	Matthias Hein 0001
Martin Slawski	Pavlo Lutsik
Martin Slawski	Ping Li 0001
Martin Sykora	Becca Coates
Martin Sykora	Colin Robertson
Martin Sykora	Haydn Lawrence
Martin Sykora	Ketan Shankardass
Martin Sykora	Krystelle Shaughnessy
Martin Sykora	Rob Feick
Martin Sykora	Thomas W. Jackson
Martin Takác	Avleen Singh Bijral
Martin Takác	Jonathan Terhorst
Martin Takác	Michael I. Jordan
Martin Takác	Nati Srebro
Martin Takác	Olivier Fercoq
Martin Takác	Peter Richtárik
Martin Takác	Sanjay Krishnan
Martin Takác	Thomas Hofmann
Martin Zinkevich	Alexander J. Smola
Martin Zinkevich	Lihong Li 0001
Martin Zinkevich	Markus Weimer
Martí Sánchez-Fibla	Armin Duff
Martí Sánchez-Fibla	Paul F. M. J. Verschure
Martín Arjovsky	Amar Shah
Martín Arjovsky	Yoshua Bengio
Maruan Al-Shedivat	Eric P. Xing
Maruan Al-Shedivat	Samy Bengio
Marwa El Halabi	Volkan Cevher
Marwa El Halabi	Ya-Ping Hsieh
Marwan A. Mattar	Erik G. Learned-Miller
Marwan A. Mattar	Honglak Lee
Mary A. Rutherford	Ben Glocker
Mary A. Rutherford	Daniel Rueckert
Mary A. Rutherford	Joseph V. Hajnal
Marylou Gabrié	Eric W. Tramel
Marylou Gabrié	Florent Krzakala
Masaaki Imaizumi	Kohei Hayashi
Masahiro Nakano	Akisato Kimura
Masahiro Nakano	Katsuhiko Ishiguro
Masahiro Nakano	Naonori Ueda
Masahiro Nakano	Takeshi Yamada
Masanori Kawakita	Jun'ichi Takeuchi
Masashi Sugiyama	Hiroko Kobayashi
Masashi Sugiyama	Hirotaka Hachiya
Masashi Sugiyama	Hisashi Kashima
Masashi Sugiyama	Kazuho Watanabe
Masashi Sugiyama	Kenji Fukumizu
Masashi Sugiyama	Manabu Kimura
Masashi Sugiyama	Marthinus Christoffel du Plessis
Masashi Sugiyama	Ryota Tomioka
Masashi Sugiyama	S. Derin Babacan
Masashi Sugiyama	Song Liu 0002
Masashi Sugiyama	Toshiyuki Tanaka
Masayuki Karasuyama	Hiroshi Mamitsuka
Masayuki Karasuyama	Ichiro Takeuchi
Masayuki Karasuyama	Kohei Hatano
Masrour Zoghi	Maarten de Rijke
Masrour Zoghi	Rémi Munos
Masrour Zoghi	Shimon Whiteson
Masrour Zoghi	Zohar S. Karnin
Massimiliano Pontil	Dimitris Stamos
Massimiliano Pontil	Kenji Fukumizu
Matan Gavish	Boaz Nadler
Matan Gavish	Ronald R. Coifman
Matei Zaharia	Ameet S. Talwalkar
Mateusz Malinowski	Mario Fritz
Matey Neykov	Han Liu 0001
Matey Neykov	Zhaoran Wang
Mathew Monfort	Brenden M. Lake
Mathew Monfort	Brian D. Ziebart
Mathew Monfort	Joshua B. Tenenbaum
Mathew Monfort	Patrick Lucey
Mathias Berglund	Akos Vetek
Mathias Berglund	Harri Valpola
Mathias Berglund	Juha Karhunen
Mathias Berglund	Jürgen Schmidhuber
Mathias Berglund	Leo Kärkkäinen
Mathias Berglund	Mikko Honkala
Mathias Berglund	Tapani Raiko
Mathias Berglund	Tele Hotloo Hao
Mathias Drton	John D. Lafferty
Mathias Niepert	Konstantin Kutzkov
Mathias Niepert	Mohamed Ahmed
Mathias Niepert	Pedro M. Domingos
Mathieu Blondel	Akinori Fujino
Mathieu Blondel	Masakazu Ishihata
Mathieu Blondel	Naonori Ueda
Mathieu Desroches	Serafim Rodrigues
Mathieu Germain	Hugo Larochelle
Mathieu Germain	Iain Murray 0001
Mathieu Germain	Karol Gregor
Mathieu Salzmann	Raquel Urtasun
Mathieu Salzmann	Trevor Darrell
Mathieu Serrurier	Henri Prade
Mathieu Sinn	Bei Chen
Mathieu Sinn	Pascal Pompey
Mathieu Sinn	Yannig Goude
Matjaz Jogan	Alan A. Stocker
Matt J. Kusner	Benjamin Moseley
Matt J. Kusner	Fei Sha
Matt J. Kusner	Gao Huang
Matt J. Kusner	John P. Cunningham
Matt J. Kusner	Kilian Q. Weinberger
Matt J. Kusner	Kunal Agrawal
Matt J. Kusner	Minmin Chen
Matt J. Kusner	Nicholas I. Kolkin
Matt J. Kusner	Roman Garnett
Matt J. Kusner	Stephen Tyree
Matt J. Kusner	Wenlin Chen
Matt J. Kusner	Yu Sun
Matt Jones 0001	Michael Jones
Matt Wytock	J. Zico Kolter
Matteo Carandini	Kenneth D. Harris
Matteo Hessel	David Silver
Matteo Hessel	Hado van Hasselt
Matteo Hessel	Marc Lanctot
Matteo Hessel	Nando de Freitas
Matteo Hessel	Volodymyr Mnih
Matteo Pirotta	Alessio Pecorino
Matteo Pirotta	Daniele Calandriello
Matteo Pirotta	Luca Bascetta
Matteo Pirotta	Marcello Restelli
Matteo Turchetta	Andreas Krause 0001
Matteo Turchetta	Felix Berkenkamp
Matthai Philipose	Gregor Urban
Matthai Philipose	Krzysztof Geras
Matthai Philipose	Matthew Richardson
Matthai Philipose	Özlem Aslan
Matthew A. Kayala	Pierre Baldi
Matthew A. Lambon Ralph	Robert D. Nowak
Matthew A. Lambon Ralph	Timothy T. Rogers
Matthew A. Smith	Geoffrey J. Gordon
Matthew A. Smith	Robert E. Kass
Matthew A. Smith	Tai Sing Lee
Matthew B. Blaschko	Andrea Vedaldi
Matthew B. Blaschko	Andrew Zisserman
Matthew Botvinick	Daan Wierstra
Matthew Botvinick	Samuel Gershman
Matthew Botvinick	Timothy P. Lillicrap
Matthew C. H. Lee	Ben Glocker
Matthew C. H. Lee	Bernhard Kainz
Matthew C. H. Lee	Christina Malamateniou
Matthew C. H. Lee	Daniel Rueckert
Matthew C. H. Lee	Joseph V. Hajnal
Matthew C. H. Lee	Kevin Keraudren
Matthew C. H. Lee	Mary A. Rutherford
Matthew Chalk	Gasper Tkacik
Matthew Chalk	Olivier Marre
Matthew Coudron	Gilad Lerman
Matthew D. Golub	Byron M. Yu
Matthew D. Golub	Steven M. Chase
Matthew D. Hoffman	David M. Blei
Matthew D. Hoffman	David Schlegel
Matthew D. Hoffman	Dustin Lang
Matthew D. Hoffman	Francis R. Bach
Matthew D. Hoffman	Matthew J. Johnson 0002
Matthew D. Hoffman	Perry R. Cook
Matthew D. Hoffman	Prabhat
Matthew D. Zeiler	Graham W. Taylor
Matthew D. Zeiler	Iain A. Matthews
Matthew D. Zeiler	Leonid Sigal
Matthew D. Zeiler	Rob Fergus
Matthew D. Zeiler	Sixin Zhang
Matthew D. Zeiler	Yann LeCun
Matthew F. Der	Lawrence K. Saul
Matthew Faulkner	Andreas Krause 0001
Matthew H. Wilder	Matt Jones 0001
Matthew H. Wilder	Michael Jones
Matthew H. Wilder	Robert V. Lindsey
Matthew J. Johnson 0002	Alan S. Willsky
Matthew J. Johnson 0002	Alex Wiltschko
Matthew J. Johnson 0002	David K. Duvenaud
Matthew J. Johnson 0002	James Saunderson
Matthew J. Johnson 0002	Ryan P. Adams
Matthew J. Johnson 0002	Sandeep R. Datta
Matthew J. Streeter	H. Brendan McMahan
Matthew James Johnson	Alan S. Willsky
Matthew Johnson 0003	David J. Fleet
Matthew Johnson 0003	Pushmeet Kohli
Matthew Joseph	Aaron Roth
Matthew Joseph	Jamie H. Morgenstern
Matthew Joseph	Michael J. Kearns
Matthew Lai	Danilo Jimenez Rezende
Matthew Lai	Koray Kavukcuoglu
Matthew Lawlor	Steven W. Zucker
Matthew Loper	Michael J. Black
Matthew Richardson	Gregor Urban
Matthew Richardson	Krzysztof Geras
Matthew Richardson	Özlem Aslan
Matthew Riemer	Aditya Vempaty
Matthew Riemer	Elham Khabiri
Matthew Riemer	Fenno F. Terry Heath III
Matthew Riemer	Flávio du Pin Calmon
Matthew Riemer	Richard Hull 0001
Matthew Taddy	Chun-Sheng Chen
Matthew Taddy	Jun Yu
Matthew Taddy	Mitch Wyle
Matthew Tesch	Howie Choset
Matthew Tesch	Jeff G. Schneider
Matthew Urry	Peter Sollich
Matthew W. Hoffman	David Pfau
Matthew W. Hoffman	Nando de Freitas
Matthew W. Hoffman	Ryan P. Adams
Matthew W. Hoffman	Tom Schaul
Matthew W. Hoffman	Zoubin Ghahramani
Matthias Bauer	Carl Edward Rasmussen
Matthias Bauer	Mark van der Wilk
Matthias Broecheler	Dianne P. O'Leary
Matthias Broecheler	Lise Getoor
Matthias Feurer	Aaron Klein
Matthias Feurer	Frank Hutter
Matthias Feurer	Jost Tobias Springenberg
Matthias Feurer	Katharina Eggensperger
Matthias Feurer	Manuel Blum 0002
Matthias Hein 0001	Bernt Schiele
Matthias Hein 0001	Leonardo Jost
Matthias Hein 0001	Pavlo Lutsik
Matthias Hein 0001	Simon Setzer
Matthias Hein 0001	Syama Sundar Rangapuram
Matthias Hein 0001	Thomas Bühler
Matthias Rolf	Minoru Asada
Matthias Rupp	Alexandre Tkatchenko
Matthias Rupp	Anatole von Lilienfeld
Matthias Rupp	Andreas Ziehe
Matthias Rupp	Franziska Biegler
Matthias Rupp	Klaus-Robert Müller
Matthias Sebastian Treder	Ali Bahramisharif
Matthias Sebastian Treder	Tom Heskes
Matthias W. Seeger	David Salinas
Matthias W. Seeger	Valentin Flunkert
Matthias Zöhrer	Franz Pernkopf
Matthieu Cord	Joo-Hwee Lim
Matthieu Courbariaux	Daniel Soudry
Matthieu Courbariaux	Jean-Pierre David
Matthieu Courbariaux	Ran El-Yaniv
Matthieu Courbariaux	Yoshua Bengio
Matthieu Devin	Andrew W. Senior
Matthieu Devin	Andrew Y. Ng
Matthieu Devin	Ke Yang
Matthieu Devin	Marc'Aurelio Ranzato
Matthieu Devin	Mark Z. Mao
Matthieu Devin	Paul A. Tucker
Matthieu Devin	Quoc V. Le
Matthieu Geist	Alessandro Lazaric
Matthieu Geist	Bilal Piot
Matthieu Geist	Bruno Scherrer
Matthieu Geist	Mohammad Ghavamzadeh
Matthieu Geist	Olivier Pietquin
Matthieu Guillaumin	Luc J. Van Gool
Matthijs T. J. Spaan	Pedro U. Lima
Mattias Gybels	Amaury Habrard
Mattias Höglund	Jens Lagergren
Matus Telgarsky	Sanjoy Dasgupta
Mauricio A. Álvarez	Bernhard Schölkopf
Mauricio A. Álvarez	Jan Peters 0001
Mauricio A. Álvarez	Neil D. Lawrence
Mauricio Araya-López	François Charpillet
Mauricio Araya-López	Olivier Buffet
Mauricio Araya-López	Vincent Thomas
Mauricio Araya-Polo	Tomaso A. Poggio
Maurilio Gutzeit	Alexandra Carpentier
Maurizio Filippone	Dirk Husmeier
Maurizio Filippone	Raphael Engler
Maurizio Filippone	Zoubin Ghahramani
Mauro Copelli	Diego Fernández Slezak
Mauro Copelli	Guillermo A. Cecchi
Mauro Copelli	Mariano Sigman
Mauro Copelli	Sidarta Ribeiro
Mauro Scanagatta	Cassio Polpo de Campos
Mauro Scanagatta	Giorgio Corani
Mauro Scanagatta	Marco Zaffalon
Max Jaderberg	Andrew Zisserman
Max Jaderberg	Karen Simonyan
Max Jaderberg	Koray Kavukcuoglu
Max Jaderberg	Nicolas Heess
Max Simchowitz	Ben Recht
Max Simchowitz	Mahdi Soltanolkotabi
Max Vladymyrov	Miguel Á. Carreira-Perpiñán
Max Welling	Yee Whye Teh
Maxim Rabinovich	Dan Klein
Maxim Rabinovich	David M. Blei
Maxim Rabinovich	Elaine Angelino
Maxim Rabinovich	Michael I. Jordan
Maxim Raginsky	Alexander Rakhlin
Maxime Berar	Alain Rakotomamonjy
Maxime Berar	Gilles Gasso
Maxime Cauchoix	Ali Bilgin Arslan
Maxime Cauchoix	Denis Fize
Maxime Cauchoix	Thomas Serre
Maxime Gasse	Alexandre Aussem
Maxime Gasse	Haytham Elghazel
Maxime Petit	Peter Ford Dominey
Maxime Petit	Stefan Wermter
Maxime Sangnier	Alain Rakotomamonjy
Maxime Sangnier	Florence d'Alché-Buc
Maxime Sangnier	Jérôme Gauthier
Maxime Sangnier	Olivier Fercoq
Maximilian Balandat	Alexandre M. Bayen
Maximilian Balandat	Claire J. Tomlin
Maximilian Balandat	Claire Tomlin
Maximilian Nickel	Hans-Peter Kriegel
Maximilian Nickel	Volker Tresp
Maximilian Nickel	Xueyan Jiang
Maxwell D. Collins	David J. Fleet
Maxwell D. Collins	Matthew Johnson 0003
Maxwell D. Collins	Pushmeet Kohli
Maxwell D. Collins	Vikas Singh
Maxwell W. Libbrecht	Jeff A. Bilmes
Maxwell W. Libbrecht	Michael M. Hoffman
Maxwell W. Libbrecht	William Stafford Noble
Maya R. Gupta	Amol Kapila
Maya R. Gupta	Maryam Fazel
Maya R. Gupta	Michael P. Friedlander
Maya R. Gupta	Yihua Chen
Mayur Mudigonda	Michael R. DeWeese
Mazen Melibari	Pascal Poupart
Maziar Gomrokchi	Doina Precup
Md. Mostofa Ali Patwary	Prabhat
Md. Mostofa Ali Patwary	Ryan P. Adams
Megasthenis Asteris	Alexandros G. Dimakis
Megasthenis Asteris	Anastasios Kyrillidis
Megasthenis Asteris	Bharath Chandrasekaran
Megasthenis Asteris	Dimitris S. Papailiopoulos
Megasthenis Asteris	Han-Gyol Yi
Megasthenis Asteris	Oluwasanmi Koyejo
Megasthenis Asteris	Russell A. Poldrack
Mehdi Kaytoue	Céline Robardet
Mehdi Kaytoue	Jean-François Boulicaut
Mehdi Kaytoue	Marc Plantevit
Mehdi Keramati	Boris S. Gutkin
Mehdi Mirza	Aaron C. Courville
Mehdi Mirza	Alex Graves
Mehdi Mirza	Bing Xu
Mehdi Mirza	David Silver
Mehdi Mirza	Koray Kavukcuoglu
Mehdi Mirza	Sherjil Ozair
Mehdi Mirza	Tim Harley
Mehdi Mirza	Timothy P. Lillicrap
Mehdi Mirza	Yoshua Bengio
Mehdi Sajjadi	Mehran Javanmardi
Mehdi Sajjadi	Tolga Tasdizen
Mehmet Emin Basbug	Barbara E. Engelhardt
Mehmet Gönen	Adam A. Margolin
Mehmet Gönen	Samuel Kaski
Mehmet Gönen	Suleiman A. Khan
Mehran Javanmardi	Tolga Tasdizen
Mehran Sahami	Jascha Sohl-Dickstein
Mehran Sahami	Leonidas J. Guibas
Mehrdad Farajtabar	Hongyuan Zha
Mehrdad Farajtabar	Isabel Valera
Mehrdad Farajtabar	Le Song
Mehrdad Farajtabar	Manuel Gomez-Rodriguez
Mehrdad Farajtabar	Nan Du
Mehrdad Farajtabar	Sahar Harati
Mehrdad Farajtabar	Shuang Li 0002
Mehrdad Farajtabar	Xiaojing Ye
Mehrdad Farajtabar	Yichen Wang
Mehrdad Ghadiri	Ola Svensson
Mehrdad Ghadiri	Vahab S. Mirrokni
Mehrdad Mahdavi	Adrian Weller
Mehrdad Mahdavi	Alexander G. Schwing
Mehrdad Mahdavi	David Sontag
Mehrdad Mahdavi	Jinfeng Yi
Mehrdad Mahdavi	Lijun Zhang 0005
Mehrdad Mahdavi	Rong Jin
Mehrdad Mahdavi	Shenghuo Zhu
Mehrdad Mahdavi	Yang Zhou
Mehrdad Mahdavi	Zhi-Hua Zhou
Mehrtash Tafazzoli Harandi	Abbas Bigdeli
Mehrtash Tafazzoli Harandi	Brian C. Lovell
Mehrtash Tafazzoli Harandi	Mathieu Salzmann
Mehryar Mohri	Afshin Rostamizadeh
Mehryar Mohri	Ana Radovanovic
Mehryar Mohri	Andres Muñoz Medina
Mehryar Mohri	Dmitry Storcheus
Mehryar Mohri	Scott Yang
Mehryar Mohri	Umar Syed
Meihong Wang	Fei Sha
Meihong Wang	Michael I. Jordan
Meire Fortunato	Navdeep Jaitly
Meisam Razaviyayn	David Tse
Meisam Razaviyayn	Farzan Farnia
Meisam Razaviyayn	Jong-Shi Pang
Meisam Razaviyayn	Mingyi Hong
Meisam Razaviyayn	Zhi-Quan Luo
Melih Kandemir	Fred A. Hamprecht
Melih S. Aslan	Kunlei Zhang
Melih S. Aslan	Thomas S. Huang
Melvyn Sim	Huan Xu
Mengdi Wang	Ethan X. Fang
Mengdi Wang	Ji Liu
Mengye Ren	Richard S. Zemel
Mengye Ren	Ryan Kiros
Meritxell Vinyals	Alessandro Farinelli
Meritxell Vinyals	Jesús Cerquides
Meritxell Vinyals	Juan A. Rodríguez-Aguilar
Mert Pilanci	Laurent El Ghaoui
Mert Pilanci	Venkat Chandrasekaran
Mesrob I. Ohannessian	Alon Orlitsky
Miao Liu	Brian Kulis
Miao Liu	Jonathan P. How
Miao Liu	Lawrence Carin
Miao Liu	Xuejun Liao
Miao Xu	Rong Jin
Miao Xu	Zhi-Hua Zhou
Miaomiao Zhang	P. Thomas Fletcher
Michael A. Casey	Jessica Thompson 0001
Michael A. Casey	Olivia Kang
Michael A. Casey	Rajeev D. S. Raizada
Michael A. Casey	Thalia Wheatley
Michael A. Gelbart	Matthew W. Hoffman
Michael A. Gelbart	Ryan P. Adams
Michael A. Gelbart	Zoubin Ghahramani
Michael A. Osborne	Carl E. Rasmussen
Michael A. Osborne	David K. Duvenaud
Michael A. Osborne	Frank D. Wood
Michael A. Osborne	John P. Cunningham
Michael A. Osborne	Maurizio Filippone
Michael A. Osborne	Philipp Hennig
Michael A. Osborne	Roman Garnett
Michael A. Osborne	Stephen J. Roberts
Michael A. Osborne	Zoubin Ghahramani
Michael Bowling	Martin Zinkevich
Michael Bryant 0002	Erik B. Sudderth
Michael Brückner	Tobias Scheffer
Michael C. Frank	Bevan K. Jones
Michael C. Fu	Csaba Szepesvári
Michael C. Fu	Steven I. Marcus
Michael C. Hughes	Emily B. Fox
Michael C. Hughes	Erik B. Sudderth
Michael C. Hughes	William T. Stephenson
Michael C. Mozer	Benjamin Link
Michael C. Mozer	Harold Pashler
Michael Carl Tschantz	Anthony D. Joseph
Michael Carl Tschantz	J. Doug Tygar
Michael Carl Tschantz	Ling Huang
Michael Carl Tschantz	Peter L. Bartlett
Michael Cogswell	David J. Crandall
